Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description,Hacking/IT Incident,Other,Unauthorized Access/Disclosure,Theft,Improper Disposal,Loss,Unknown,Name of Covered Entity clean,Year,Month,Day,quarter,dayofweek,is_weekend,weekofyear,Desktop Computer,Electronic Medical Record,Email,Laptop,Network Server,Other Portable Electronic Device,Paper/Films,Yes,No
UNC Health Care,NC,Healthcare Provider,1298.0,2017-03-20,Unauthorized Access/Disclosure,Paper/Films,No,"On January 26, 2017, UNC Health Care, the covered entity (CE), learned from a patient that between April 1, 2014, and February 17, 2017, the CE’s clinics had all prenatal patients complete a pregnancy home risk screening form to see if they were eligible for additional support services from Medicaid and sent all the forms to local county health departments, including for patients not participating in Medicaid.  The breach affected the protected health information (PHI) of 1,298 individuals and included names, addresses, race, ethnicity, social security numbers, social behaviors, mental health statuses, sexually transmitted diseases, HIV status, drug and alcohol use, and medical diagnosis information related to pregnancy.  The CE provided breach notification to HHS, affected individuals, and the media and posted substitute notice and offered identity theft resolution services.  The CE instructed the clinics to stop having non-Medicaid beneficiaries complete the screening forms, and the clinics purged their files of any non-Medicaid forms they had received. The CE retrained staff on the new procedure.  OCR obtained assurances that the CE implemented the corrective actions listed above.",0.0,0,1.0,0.0,0.0,0.0,0.0,UNC Health Care,2017.0,3.0,20.0,1.0,0.0,0,12.0,0,0,0,0,0,0,1,0,1
Highland Rivers Community Service Board,GA,Healthcare Provider,967.0,2017-03-20,Unauthorized Access/Disclosure,Paper/Films,No,"A staff member of Highland Rivers Community Service Board, the covered entity (CE), sent incorrect information to the CE’s billing agent. Relying on the incorrect information, the billing agent mailed statements to 967 individuals, some of which contained protected health information (PHI)  for the wrong patients. The statements contained the individual’s name, account number, dates of service, fess for service, and cumulative balance. Following the incident, the CE sanctioned the staff member involved, provided HIPAA retraining, and reviewed its policies and procedures. As a result of OCR’s investigation, the CE created a new, more secure written procedure for sharing PHI with vendors. The CE also provided breach notification to HHS, the affected individuals, and the media. Further, in response to technical assistance provided by OCR, the CE provided substitute notice on its website and in person, when individuals next visited the CE for services.   ",0.0,0,1.0,0.0,0.0,0.0,0.0,Highland Rivers Community Service Board,2017.0,3.0,20.0,1.0,0.0,0,12.0,0,0,0,0,0,0,1,0,1
"Rocky Mountain Health Maintenance Organization, Inc.",CO,Health Plan,1320.0,2017-03-17,Unauthorized Access/Disclosure,Paper/Films,No,"On January 23, 2017, the covered entity (CE), Rocky Mountain Health Maintenance Organization, Inc., mailed letters containing protected health information (PHI) to incorrect recipients. The types of PHI involved in the breach included demographic information, and the last four digits of social security numbers or dates of birth for approximately 1,320 individuals. The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE investigated the cause of the breach and revised its related HIPAA policies and procedures.  OCR obtained assurances that the CE implemented the corrective actions noted above. 
 ",0.0,0,1.0,0.0,0.0,0.0,0.0,Rocky Mountain Health Maintenance Organization ,2017.0,3.0,17.0,1.0,4.0,0,11.0,0,0,0,0,0,0,1,0,1
Houston Methodist Hospital,TX,Healthcare Provider,1417.0,2017-03-17,Unauthorized Access/Disclosure,Email,No,"A workforce member erroneously sent an email disclosing the protected health information (PHI) of 1,417 patients to other patients listed on the email. The CE provided breach notification to HHS, affected individuals, and the media.  In response to the incident, the CE implemented an additional technical safeguard to prevent similar situations and re-trained its workforce members on the proper use of email when communicating with patients. OCR obtained assurances that the CE implemented the corrective actions noted above.",0.0,0,1.0,0.0,0.0,0.0,0.0,Houston Methodist Hospital,2017.0,3.0,17.0,1.0,4.0,0,11.0,0,0,1,0,0,0,0,0,1
Local 693 Plumbers & Pipefitters Health & Welfare Fund,VT,Health Plan,1291.0,2017-03-13,Theft,Other Portable Electronic Device,No,"On January 23, 2017, a break-in occurred at the office of Local 693 Health & Welfare Fund, the covered entity (CE), an employee welfare benefit program, and an external computer hard drive containing the electronic protected health information (ePHI) of approximately 1,291 individuals was stolen. The ePHI included names, addresses, phone numbers and social security numbers. OCR’s investigation revealed that the drive contained some technical safeguards that made the risk of further disclosure low. As a result of OCR’s investigation, the CE implemented several new physical and technical safeguards and provided a call-center for affected individuals. The CE timely notified OCR, the media and affected individuals or their next-of-kin.",0.0,1,0.0,1.0,0.0,0.0,0.0,Local 693 Plumbers  Pipefitters Health  Welfare Fund,2017.0,3.0,13.0,1.0,0.0,0,11.0,0,0,0,0,0,1,0,0,1
Virginia Commonwealth University Health System,VA,Healthcare Provider,2716.0,2017-03-10,Unauthorized Access/Disclosure,Electronic Medical Record,No,"The covered entity (CE),  Virginia Commonwealth University Health System, detected an unusual pattern of accessing electronic patient records from two different sources and confirmed that an employee of a community physician and an employee with a contracted vendor, acting independently, accessed patient records without a legitimate business need.  The types of protected health information (PHI) potentially viewed included full names, home addresses, dates of birth, medical record numbers, providers, visit dates, health insurance information and diagnostic and treatment information.  As a result of this incident, the respective employers sanctioned the employees.  The CE obtained assurances from the former employees that any inappropriate accesses to the electronic medical records were viewed without malicious intent and no information was retained. The CE implemented additional administrative and technical safeguards, eliminated the option to browse records, and  limited the information that was displayed as the result of a search to the minimum necessary.  The CE provided breach notification to HHS, the media, and affected individuals. OCR obtained assurances that the CE implemented the corrective actions listed.
",0.0,0,1.0,0.0,0.0,0.0,0.0,Virginia Commonwealth University Health System,2017.0,3.0,10.0,1.0,4.0,0,10.0,0,1,0,0,0,0,0,0,1
CVS Health,RI,Healthcare Provider,724.0,2017-03-08,Theft,Paper/Films,No,"On January 11, 2017, a box containing hard copy controlled substance prescriptions written between January 2, 2017 and January 11, 2017, was stolen by an unknown individual from a CVS, the covered entity (CE), in Michigan City, Indiana.  The breach affected 724 individuals and the types of protected health information (PHI) involved included patients’ names, dates of birth, addresses, medication names, medication dosages, prescription numbers, and prescriber information. The CE provided breach notification to affected individuals, the media, and HHS.   Following the breach, the CE retrained its staff at the Michigan City location.  Additionally, the CE’s management conducted an internal audit to ensure that patient records were not easily visible to waiting customers or accessible by anyone standing outside of the pharmacy.  OCR reviewed the CE’s policies and procedures on uses and disclosure of PHI and safeguarding PHI and obtained assurances that the CE implemented the corrective actions noted above.",0.0,0,0.0,1.0,0.0,0.0,0.0,CVS Health,2017.0,3.0,8.0,1.0,2.0,0,10.0,0,0,0,0,0,0,1,0,1
Saliba's Extended Care Pharmacy,AZ,Healthcare Provider,6599.0,2017-03-03,Unauthorized Access/Disclosure,Email,No,"On January 12, 2017, an employee inadvertently emailed an attachment containing patient invoices for December 2016 to six current patients or their personal representatives.  These invoices contained patients' names, billing addresses, account balances, and some invoices included the names and dosage amounts of medications provided by the covered entity (CE), Saliba Extended Care Pharmacy, to the patient. Approximately 6,599 individuals were affected by the breach. The CE discovered the inadvertent emailing on January 16, 2017, recalled the email sent to all recipients and reached out to the three recipients who confirmed they opened the email message and requested that the recipients permanently delete the email.  After the incident, the CE restricted workforce access to the folder containing patient invoices, retrained billing staff on proper methods for accessing and emailing patient invoices and on its HIPAA policies and procedures, and sanctioned the employee who sent the email.  The CE also developed a secure online portal through which patients can directly retrieve their monthly invoices. The CE provided breach notification to HHS, affected individuals, and media, as well as substitute notification.  OCR provided the CE with technical assistance regarding the risk analysis and risk management provisions of the HIPAA Security Rule. 

 
",0.0,0,1.0,0.0,0.0,0.0,0.0,Salibas Extended Care Pharmacy,2017.0,3.0,3.0,1.0,4.0,0,9.0,0,0,1,0,0,0,0,0,1
Orange County Global Medical Center,CA,Healthcare Provider,677.0,2017-03-02,Unauthorized Access/Disclosure,Email,No,"On February 8, 2017, a workforce member of the covered entity (CE), Orange County Global Medical Center, inadvertently sent two medical statistical reports on C-Sections and vaginal births to an unauthorized recipient. The reports contained one or more of the following types of protected health information (PHI) about 677 of the CE's patients: treatment and diagnostic information, medical record numbers, dates of birth of infants, treating staff names, and treatment dates.  The CE reached out to the unauthorized recipient and asked that the information be destroyed and deleted from his/her e-mail.   The CE provided breach notification to HHS, affected individuals, and the media.  OCR obtained assurances that the CE implemented the corrective actions noted above and indicated that the CE is expected to complete an enterprise-wide security risk analysis as a result of this incident.",0.0,0,1.0,0.0,0.0,0.0,0.0,Orange County Global Medical Center,2017.0,3.0,2.0,1.0,3.0,0,9.0,0,0,1,0,0,0,0,0,1
"Stephen P. Courtney, M.D.",TX,Healthcare Provider,1140.0,2017-03-01,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper/Films",No,"OCR conducted an investigation of the breach report filed by Dr. Stephen Courtney on August 29, 2017, after he reported that a former workforce member impermissibly accessed approximately 1,561 patients’ medical records at Plano Orthopedic Sports Medicine & Spine Center (POSMC).  Upon discovering the breach, Dr. Courtney filed a Breach Report with HHS and took steps to mitigate the harm. As a result of OCR’s investigation, OCR determined that the appropriate covered entity is POSMC.",0.0,0,1.0,0.0,0.0,0.0,0.0,Stephen P Courtney MD,2017.0,3.0,1.0,1.0,2.0,0,9.0,0,1,0,0,0,0,1,0,1
Memphis VA Medical Center,TN,Healthcare Provider,687.0,2017-03-01,Unauthorized Access/Disclosure,Paper/Films,No,"Memphis VA Medical Center (MVAMC), the covered entity (CE), impermissibly disclosed protected health information (PHI) due to a printing format change that caused the wrong names to be associated with addresses in a survey mailed to its members. The breach incident included the names and addresses of 687 individuals.  The CE provided breach notification to affected individuals and the media.  The CE conducted a full review of the incident, re-educated staff regarding the appropriate methods for handling, securing, and mailing of PHI, set up a new process to prevent similar situations from re-occurring, and counseled and retrained the staff on its Privacy/Release of Information policy. OCR obtained assurances that the CE implemented the corrective actions noted above. ",0.0,0,1.0,0.0,0.0,0.0,0.0,Memphis VA Medical Center,2017.0,3.0,1.0,1.0,2.0,0,9.0,0,0,0,0,0,0,1,0,1
Sharp Memorial Hospital,CA,Healthcare Provider,754.0,2017-02-28,Theft,"Laptop, Other Portable Electronic Device",No,"Sharp Memorial Hospital, the covered entity (CE), reported that an unencrypted laptop computer and unencrypted external hard drive used to store electronic protected health information (ePHI) were stolen from a secure storage area. The ePHI of 791 patients was stored on the hard drive at the time of the theft. The ePHI included individuals’ names, dates of birth, prescription information and family medical history. In response to the breach incident, the CE notified the affected individuals of the breach, notified prominent media outlets of the breach, ensured the presence of encryption software on all laptops and media storage devices, updated relevant policies and procedures, implemented additional administrative, physical and technical safeguards, provided retraining to workforce members in the facility where the breach occurred. As a result of the investigation, OCR stated the expectation that the CE will complete a thorough and enterprise wide risk analysis and implement a comprehensive risk management plan.",0.0,1,0.0,1.0,0.0,0.0,0.0,Sharp Memorial Hospital,2017.0,2.0,28.0,1.0,1.0,0,9.0,0,0,0,1,0,1,0,0,1
Vanderbilt University Medical Center,TN,Healthcare Provider,3247.0,2017-02-24,Unauthorized Access/Disclosure,Electronic Medical Record,No,"On December 27, 2016, Vanderbilt University Medical Center, the covered entity (CE), learned that a transporter employee in the Pediatric Emergency Department (PED) had accessed patients’ electronic medical records (EMR) without authorization.  The breach involved the protected health information (PHI) of 3,247 individuals and included patients’ names, dates of birth, internal medical record numbers, clinical information, and for some records may have included social security numbers. In response to the breach, the CE sanctioned the involved employee (including termination in this case), reviewed its record audit procedures, removed EMR access for PED transporters, implemented an alternative process for PED transporters, and reviewed and edited its security policies. In addition, the CE provided retraining to departments utilizing a patient transport role. The CE provided breach notification to HHS, affected individuals, the media.  OCR obtained assurances that the CE implemented the corrective actions listed above.",0.0,0,1.0,0.0,0.0,0.0,0.0,Vanderbilt University Medical Center,2017.0,2.0,24.0,1.0,4.0,0,8.0,0,1,0,0,0,0,0,0,1
"West Virginia University Hospitals-East, Inc. DBA University Healthcare",WV,Healthcare Provider,7445.0,2017-02-24,Theft,Electronic Medical Record,No,"The covered entity (CE), West Virginia University Hospitals- East, Inc., reported that on February 24, 2017, a police officer contacted its compliance officer indicating that 113 individuals had reported identity theft and it was discovered they had all been treated at Berkley Medical Center which is part of the CE.  The breach affected 7,445 individuals and included demographic and clinical information.  The CE discovered that an employee who handled these individuals during admission was involved in the breach.  The employee, along with other individuals allegedly involved in the incident, was charged with identity theft, aggravated identity theft, bank fraud and producing false identity documents, among other charges, in a 36-count indictment handed down by a federal grand jury on June 20, 2017.  A forensic review conducted by the CE’s third-party Incident Response vendor and the FBI immediately following the event determined that no PHI was removed or viewed from the CE’s electronic network.  The CE provided OCR with its Kroll Event Report from June 2017, which provided an update and confirmation that there have been no additional reports of identity theft made to Kroll since the incident was identified and the criminal charges initiated.  OCR reviewed a copy of the CE’s current risk assessment.   The CE provided breach notification to HHS, affected individuals, and the media, and also provided free credit monitoring.  OCR obtained assurances that the CE implemented the corrective actions listed above.",0.0,0,0.0,1.0,0.0,0.0,0.0,West Virginia University HospitalsEast   University Healthcare,2017.0,2.0,24.0,1.0,4.0,0,8.0,0,1,0,0,0,0,0,0,1
Allina Health System,MN,Healthcare Provider,776.0,2017-02-23,Improper Disposal,Paper/Films,No,"Allina Health System-Minneapolis Heart Institute, the covered entity (CE), discovered that protected health information (PHI) was placed in a recycling bin and emptied, instead of being shredded as planned.  The breach was discovered on January 20, 2017, and  affected approximately 776 individuals.  The types of PHI involved included names, addresses, dates of birth, social security numbers, Medicare identification numbers, insurance identification numbers, clinical diagnoses, and  lab results.  The CE provided breach notification to affected individuals, HHS and the media. Following the breach, the CE implemented  new policies and procedures and  trained employees.  OCR obtained assurances that the CE implemented the corrective actions noted above.",0.0,0,0.0,0.0,1.0,0.0,0.0,Allina Health System,2017.0,2.0,23.0,1.0,3.0,0,8.0,0,0,0,0,0,0,1,0,1
Emblem Health - GHI,NY,Health Plan,703.0,2017-02-17,Unauthorized Access/Disclosure,Paper/Films,Yes,"A business associate (BA) of Group Health Inc., the covered entity (CE), impermissibly disclosed the protected health information (PHI) of 7,083 individuals when it mailed 2015 1095-B tax forms to the wrong members.  The types of PHI involved in the breach included members’ names, addresses, dates of birth, and social security numbers.  The CE provided breach notification to HHS, affected individuals and the media, and provided free credit monitoring to the affected individuals. Following the breach, the CE developed a frequently asked question document to assist staff to respond to calls regarding the breach, re-mailed the 1095-B tax forms, requested the return of the forms or attestation that the health information received was destroyed, and moved the print function of the 1095-B tax forms to another BA.  As a result of OCR’s investigation, the CE is expected to continue to request the return or verify that the health information was destroyed and ensure that the CE’s BAs are trained on the provisions of Privacy, Security and Breach Notification Rules.  


",0.0,0,1.0,0.0,0.0,0.0,0.0,Emblem Health  GHI,2017.0,2.0,17.0,1.0,4.0,0,7.0,0,0,0,0,0,0,1,1,0
"Robert E Torti, MD, PA dba Retina Specialists",TX,Healthcare Provider,887.0,2017-02-17,Theft,Paper/Films,No,"On February 17, 2017, Robert E. Torti, MD, PA d/b/a Retina Specialists, the covered entity (CE),  reported that the protected health information (PHI) of 887 individuals went missing. The types of PHI involved in the breach included clinical, demographic, and financial information. The CE provided breach notification to HHS, affected individuals, and the media.  It also notified law enforcement. Additionally, OCR obtained and reviewed evidence that the CE implemented improved administrative and physical safeguards, enhanced physical security measures, revised procedures for handling PHI, and retrained staff. ",0.0,0,0.0,1.0,0.0,0.0,0.0,Robert E Torti MD PA  Retina Specialists,2017.0,2.0,17.0,1.0,4.0,0,7.0,0,0,0,0,0,0,1,0,1
Hillsborough County Aging Services Department,FL,Healthcare Provider,650.0,2017-02-16,Loss,Paper/Films,No,"A former employee found and returned a box of paper records containing protected health information (PHI) that had been missing for over five years and that belonged to the covered entity (CE), Hillsborough County Aging Services Department. The PHI included names, addresses, Social Security numbers, enrollment numbers, financial information, and clinical notes for 647 individuals. The CE reviewed and updated its policies and procedures to prevent any similar occurrences in the future, formalizing its procedures for safeguarding PHI outside of the office using password protected locked cases, and required all employees to review and implement the new procedures. The CE also provided breach notification to HHS, affected individuals, the media, and on its website. OCR obtained assurances that the CE implemented the corrective actions listed above.",0.0,0,0.0,0.0,0.0,1.0,0.0,Hillsborough County Aging Services Department,2017.0,2.0,16.0,1.0,3.0,0,7.0,0,0,0,0,0,0,1,0,1
St. Joseph's Hospital and Medical Center,AZ,Healthcare Provider,623.0,2017-02-13,Unauthorized Access/Disclosure,Electronic Medical Record,No,"A part-time clinical employee of the covered entity (CE), St. Joseph’s Hospital and Medical Center, a Dignity Health facility in Arizona, impermissibly accessed the protected health information (PHI) of patients.  The breach affected the full names, dates of birth, diagnoses/conditions, and medications of approximately 623 individuals.  The CE provided breach notification to HHS, affected individuals, and the media, and also provided substitute notice.  Following the breach, the CE sanctioned the employee responsible for the incident and reported the employee to his licensing board.  In response to the incident, the CE conducted a thorough audit of the employee’s medical record access during the entire term of his employment. OCE obtained assurances that the CE implemented the corrective actions listed above.  In this case, the  sanction included termination of employment.",0.0,0,1.0,0.0,0.0,0.0,0.0,St Josephs Hospital  Medical Center,2017.0,2.0,13.0,1.0,0.0,0,7.0,0,1,0,0,0,0,0,0,1
"Capital Prosthetic and Orthotic Center, Inc. ",OH,Business Associate,1134.0,2017-02-10,Theft,Paper/Films,Yes,"Capital Prosthetic and Orthotic Center, Inc., the covered entity (CE), reported the theft of protected health information (PHI) from its storage company’s facility, Brandywine Lock-n-Stock.  The breach affected 1,134 individuals’ PHI and included names, addresses, birthdates, phone numbers, social security numbers, medical diagnosis/treatments and insurance Information.  The CE provided breach notification to HHS, affected individuals, and the media and provided free credit monitoring.  Following the breach, the CE conducted an investigation, terminated the relationship with the storage company and moved all of its  paper records to a new business associate (BA), with which it established a HIPAA BA agreement.  OCR obtained documented assurances that the CE implemented the corrective actions noted above.",0.0,0,0.0,1.0,0.0,0.0,0.0,Capital Prosthetic  Orthotic Center  ,2017.0,2.0,10.0,1.0,4.0,0,6.0,0,0,0,0,0,0,1,1,0
California Correctional Health Care Services,CA,Healthcare Provider,738.0,2017-02-09,Unauthorized Access/Disclosure,Email,No,"On February 9, 2017, the covered entity (CE), California Correctional Health Care Services, reported that its workforce member sent an email and a spreadsheet attachment to a wrong recipient who is an executive liaison to California Governor’s Office of Emergency Services and has the same last name as the intended recipient.  The CE asked the recipient to delete both the email and attachment.  The breach affected the electronic PHI (ePHI) of approximately 738 individuals and included names, California Department of Corrections and Rehabilitation identification numbers, housing information, mental health related information, and health care providers information.  The CE provided breach notification to HHS, affected individuals, and the media.  In response to the breach, the CE retrained the involved workforce member and implemented email encryption.  The CE also provided OCR with additional documentation including its HIPAA Notice of Privacy Practices Policy, as relevant to this breach investigation.  OCR obtained assurances that the CE implemented the corrective actions listed above. 





",0.0,0,1.0,0.0,0.0,0.0,0.0,California Correctional Health Care Services,2017.0,2.0,9.0,1.0,3.0,0,6.0,0,0,1,0,0,0,0,0,1
"Bloom Physical Therapy, LLC dba Physicians Physical Therapy Service",AZ,Healthcare Provider,500.0,2017-02-09,Unauthorized Access/Disclosure,Email,No,"On February 1, 2017, the covered entity (CE), Bloom Physical Therapy, LLC dba Physicians Physical Therapy Service, erroneously sent an email regarding a change in ownership to past and current clients so that email addresses in the mailing were visible to all recipients.  The email was sent to approximately 500 individuals and may have contained names as a portion of some email addresses.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE revised its policies and procedures and retrained staff.  OCR provided substantial technical assistance to the CE and obtained assurances that the CE implemented the corrective actions noted above.",0.0,0,1.0,0.0,0.0,0.0,0.0,Bloom Physical Therapy   Physicians Physical Therapy Service,2017.0,2.0,9.0,1.0,3.0,0,6.0,0,0,1,0,0,0,0,0,1
Walgreen Co.,IL,Healthcare Provider,4500.0,2017-02-03,Unauthorized Access/Disclosure,Paper/Films,No,"The covered entity (CE), Walgreens, sent an improperly formatted survey letter to individuals so that protected health information (PHI) was visible in the addressee window of the envelope.  The visible PHI included recent prescription histories, clinical, and demographic data affecting 4,500 individuals in 49 states. Following the breach, the CE conducted an investigation to determine the root cause of the breach, revised quality control steps for mailings that contain PHI, and retrained department staff on its revised procedures.  The CE provided breach notification to HHS, affected individuals, and the media and posted a substitute notice on the home page of its website.  OCR obtained documented assurances that the CE implemented the corrective actions noted above.",0.0,0,1.0,0.0,0.0,0.0,0.0,Walgreen Co,2017.0,2.0,3.0,1.0,4.0,0,5.0,0,0,0,0,0,0,1,0,1
"Family Medicine East, Chartered",KS,Healthcare Provider,6800.0,2017-02-03,Theft,Desktop Computer,No,"An intruder threw a large rock through an office window of the covered entity (CE), and stole a password protected (but unencrypted) desktop computer  that contained the protected health information (PHI) of approximately 6,800 individuals. The PHI in the stolen computer included demographic and clinical information. Following the breach, the CE provided breach notification to HHS, affected individuals, and the media and posted substitute notice. To prevent a similar breach from occurring in the future, the CE improved physical safeguards, encrypted workstations and computers, decreased the amount of PHI in its local network, utilized a secure cloud-based electronic medical record service, and enhanced its network security. Following OCR’s investigation, the CE sanctioned an employee, revised and updated its privacy and security policies and procedures, and retrained its workforce on privacy and security.  OCR obtained documented assurances that the CE implemented the corrective actions noted above.",0.0,0,0.0,1.0,0.0,0.0,0.0,Family Medicine East Chartered,2017.0,2.0,3.0,1.0,4.0,0,5.0,1,0,0,0,0,0,0,0,1
"Jeffrey D. Rice, O.D., L.L.C.",OH,Healthcare Provider,1586.0,2017-02-02,Theft,Paper/Films,No,"Jeffery D. Rice, O.D./Vision Source, the covered entity (CE),  reported that, on or about December 12, 2016, seven boxes that contained past and current patients’ protected health information (PHI) were stolen from a warehouse.  This breach affected approximately 1,586 individuals.  The types of protected health information (PHI) involved in the breach included contained names, address, social security numbers, and medical diagnoses/conditions.  Following the breach, the CE inventoried the storage unit to note what was missing, informed the police of the theft, recovered the stolen PHI, reviewed  the recovered PHI, and moved their offsite PHI to a new location.  The CE provided breach notification to HHS and affected individuals.  In response to OCR’s investigation the CE revised its policies for uses and disclosure of PHI policy and for safeguarding PHI and trained its staff on these updated policies.  The CE also trained an employee to regularly check on the PHI that is stored off site.  OCR obtained documentation of all actions taken in this matter.",0.0,0,0.0,1.0,0.0,0.0,0.0,Jeffrey D Rice OD ,2017.0,2.0,2.0,1.0,3.0,0,5.0,0,0,0,0,0,0,1,0,1
The Affiliated Sante Group,MD,Healthcare Provider,550.0,2017-01-31,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,"A contractor for the covered entity (CE) posted software code on an open source online forum without the permission of the CE and inadvertently posted a directory containing the protected health information (PHI) of 550 individuals.  The types of PHI involved in the breach included names, addresses, dates of birth, and social security numbers.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE ensured that the directory was deleted from the forum and terminated its relationship with the contractor.  OCR reviewed the CE's risk analysis to ensure compliance with the HIPAA Security Rule.",0.0,0,1.0,0.0,0.0,0.0,0.0,The Affiliated Sante Group,2017.0,1.0,31.0,1.0,1.0,0,5.0,0,1,0,0,0,0,0,1,0
Shiel Sexton,IN,Health Plan,710.0,2017-01-27,Unauthorized Access/Disclosure,Other,Yes,"On January 10, 2017, Shiel Sexton learned that its former business associate (BA), HCH Administration, Inc., had disclosed protected health information (PHI) in 2012 to a reinsurer beyond the minimum necessary requirements in the business associate agreement (BAA) with Shiel Sexton. The breach affected 710 individuals and the types of PHI involved included names and social security numbers. The covered entity (CE) provided breach notification to affected individuals and the media on January 27, 2017, and also notified HHS.  OCR obtained documented assurances that the CE implemented these corrective action steps.  During the course of this investigation, OCR learned that the BA dissolved its business in 2013.

",0.0,1,1.0,0.0,0.0,0.0,0.0,Shiel Sexton,2017.0,1.0,27.0,1.0,4.0,0,4.0,0,0,0,0,0,0,0,1,0
THE R.O.A.D.S. Foundation Inc. DBA R.O.A.D.S. Community Care Clinic,CA,Healthcare Provider,670.0,2017-01-26,Loss,Paper/Films,No,"On January 4, 2017, the covered entity (CE), R.O.A.D.S. Foundation Inc., DBA R.O.A.D.S. Community Care Clinic, noticed the lock on its mailbox was broken and there were no contents inside the mail box.  The CE determined that documents, including explanations of benefits from its contracted insurance companies, were lost or stolen during the incident.  The breach affected approximately 670 patients.  The types of protected health information (PHI) in the missing pieces of mail included patients’ names, claim numbers, service dates, various dollar amounts (including billed, allowed, deductible, coinsurance, paid, adjustment, withheld, code, and claim balance), and dates of birth for half of the affected individuals.  The CE notified local law enforcement and the U.S. Postal Service (USPS), and in response to this incident, instructed USPS to hand-deliver its mail during business hours to a CE staff member.  The CE provided breach notification to HHS, affected individuals, and the media.  OCR obtained assurances that the CE implemented the corrective actions noted above.  ",0.0,0,0.0,0.0,0.0,1.0,0.0,THE ROADS Foundation   ROADS Community Care Clinic,2017.0,1.0,26.0,1.0,3.0,0,4.0,0,0,0,0,0,0,1,0,1
Roper St. Francis Healthcare,SC,Healthcare Provider,576.0,2017-01-24,Loss,Other Portable Electronic Device,No,"A camera with infant security photos went missing when a nurse failed to store the camera in its normal secure location at Roper St. Francis, Mount Pleasant Hospital.  The breach affected the protected health information (PHI) of 508 newborn patients. The types of PHI on the camera included photographs of patients, patients’ last names, dates of birth, and providers’ names. In response to the breach, on December 4, 2016, the covered entity (CE) ended the procedure of taking security photos of newborns and staff members were advised to continue to ensure the safety of infants by identifying them with appropriate matching bracelets, utilization of the infant security tags and system, and education to the family.  On January 24, 2017, the CE implemented an Information Services Security Incident Response Procedure to facilitate timely and effective handling of all cybersecurity computer incidents and trained staff in the affected unit on its HIPAA policies and procedures.  The CE provided breach notification to HHS, the parents of affected newborns and the media. The CE offered credit monitoring and identity protection services to affected individuals and established a call center related to the breach.  OCR obtained assurances that the CE implemented the corrective actions listed above. 
",0.0,1,0.0,0.0,0.0,1.0,0.0,Roper St Francis Healthcare,2017.0,1.0,24.0,1.0,1.0,0,4.0,0,0,0,0,0,1,0,0,1
Multnomah County,OR,Healthcare Provider,1700.0,2017-01-20,Unauthorized Access/Disclosure,Email,No,"Multnomah County, the covered entity (CE), reported that a workforce member automatically forwarded all of his work emails to his personal email account for over four years. Approximately 1,200 individuals’ electronic protected health information (ePHI) was affected by the breach and included clinical and demographic information. The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE sanctioned the workforce member responsible for the breach and provided reminders to workforce members on the proper use of email accounts. In response to OCR’s investigation, the CE implemented a process to perform a monthly review of the CE’s email users that have automatic forwarding.  As a result of the investigation, the CE is expected to conduct a complete and thorough risk analysis and implement a corresponding risk management plan in conformance with the HIPAA Rules.",0.0,0,1.0,0.0,0.0,0.0,0.0,Multnomah County,2017.0,1.0,20.0,1.0,4.0,0,3.0,0,0,1,0,0,0,0,0,1
Wonderful Center For Health Innovation,CA,Healthcare Provider,3358.0,2017-01-20,Theft,Laptop,No,"The covered entity (CE) reported a breach of 3,091 individuals’ electronic protected health information (ePHI), after a laptop computer was stolen from a workforce member’s unlocked car between December 9, 2016 and December 12, 2016.  The types of ePHI involved in the breach included diagnoses or conditions, lab results, medications, and other treatment information.  The CE provided breach notification to HHS, affected individuals, and the media.  It provided OCR with evidence that it responded to the security incident and implemented physical and technical security safeguards, updated its security analysis, sanctioned the workforce members, and trained the entire staff.  OCR provided technical assistance regarding the HIPAA Security Rule.

",0.0,0,0.0,1.0,0.0,0.0,0.0,Wonderful Center For Health Innovation,2017.0,1.0,20.0,1.0,4.0,0,3.0,0,0,0,1,0,0,0,0,1
"Covenant Medical Center, Inc.",MI,Healthcare Provider,6197.0,2017-01-20,Unauthorized Access/Disclosure,Electronic Medical Record,No,"The covered entity (CE), Covenant Medical Center discovered that an employee accessed patients’ electronic medical records from February 1, 2016 through November 21, 2016 without an appropriate business purpose. This breach affected the clinical, demographic, and financial information of approximately 6,197 individuals. The CE provided breach notification to HHS, affected individuals, and the media.  It also offered affected individuals credit monitoring.  Following the breach, the CE sanctioned the involved employee and retrained staff. OCR obtained assurances that the CE implemented the  corrective actions listed above.  In this case the sanctions included termination of employment.",0.0,0,1.0,0.0,0.0,0.0,0.0,Covenant Medical Center ,2017.0,1.0,20.0,1.0,4.0,0,3.0,0,1,0,0,0,0,0,0,1
